A               W               ID              mean time
128     8       2.83    2.16    
128     8       2.83    2.54    
128     16      2.20    1.03    
128     16      2.20    1.23    
128     32      1.61    0.82    
256     32      2.20    0.96    
256     32      2.20    1.01    
256     8       3.50    1.53    
256     8       3.50    1.45    
256     16      2.83    1.12    
512     32      2.83    1.96    
512     32      2.83    1.20    
512     8       4.17    2.67    
512     8       4.17    2.05    
512     16      3.50    1.31    
64      32      1.10    1.11    
64      32      1.10    0.69    
64      16      1.61    0.86    
64      16      1.61    1.03    
64      8       2.20    1.30    
